API name,status,testCaseNo,description,doctorCode,firstName,lastName,doctorSpeciality,doctorExperience,birthDate,gender,doctorType,street1,city,pincode,state,country,contactName,phone,email,expectedStatusCode,Expected Message,Expected Response Time
Create Doctor,fail,DCTC001,Empty doctorCode,,APOLLO_D01,ORG1_H01,"[""General""]",5,1/1/1990,Male,SHIFT,Street1,Bangalore,560001,KA,India,Contact1,9090909001,qa_doctor14@iorbitteam825558.testinator.com,400,doctorCode is required,? 500ms
Create Doctor,fail,DCTC002,Empty firstName,QA_viru02,,ORG1_H02,"[""Cardiologist""]",5,1/1/1990,Male,SHIFT,Street2,Bangalore,560002,KA,India,Contact2,9090909002,qa_doctor14@iorbitteam825558.testinator.com,400,firstName is required,? 500ms
Create Doctor,fail,DCTC003,Empty lastName,QA_viru03,APOLLO_D03,,"[""Cardiologist""]",5,1/1/1990,Male,SHIFT,Street3,Bangalore,560003,KA,India,Contact3,9090909003,qa_doctor14@iorbitteam825558.testinator.com,400,lastName is required,? 500ms
Create Doctor,fail,DCTC004,doctorSpeciality as string,QA_viru04,APOLLO_D04,ORG1_H04,Cardiologist,5,1/1/1990,Male,SHIFT,Street4,Bangalore,560004,KA,India,Contact4,9090909004,qa_doctor14@iorbitteam825558.testinator.com,412,doctorSpeciality must be an array,? 500ms
Create Doctor,fail,DCTC005,Empty doctorSpeciality,QA_viru05,APOLLO_D05,ORG1_H05,[],5,1/1/1990,Male,SHIFT,Street5,Bangalore,560005,KA,India,Contact5,9090909005,qa_doctor14@iorbitteam825558.testinator.com,400,doctorSpeciality is required,? 500ms
Create Doctor,fail,DCTC006,doctorExperience as string,QA_viru06,APOLLO_D06,ORG1_H06,"[""Dermatologist""]",five,1/1/1990,Male,SHIFT,Street6,Bangalore,560006,KA,India,Contact6,9090909006,qa_doctor14@iorbitteam825558.testinator.com,412,Invalid doctorExperience datatype,? 500ms
Create Doctor,fail,DCTC007,Missing birthDate,QA_viru07,APOLLO_D07,ORG1_H07,"[""General""]",3,,Male,SHIFT,Street7,Bangalore,560007,KA,India,Contact7,9090909007,qa_doctor14@iorbitteam825558.testinator.com,400,birthDate is required,? 500ms
Create Doctor,fail,DCTC008,Invalid birthDate format,QA_viru08,APOLLO_D08,ORG1_H08,"[""General""]",3,invalidDate,Male,SHIFT,Street8,Bangalore,560008,KA,India,Contact8,9090909008,qa_doctor14@iorbitteam825558.testinator.com,412,Invalid birthDate format,? 500ms
Create Doctor,fail,DCTC009,Empty gender,QA_viru09,APOLLO_D09,ORG1_H09,"[""General""]",3,1/1/1990,,SHIFT,Street9,Bangalore,560009,KA,India,Contact9,9090909009,qa_doctor14@iorbitteam825558.testinator.com,400,gender is required,? 500ms
Create Doctor,fail,DCTC010,Invalid gender value,QA_viru10,APOLLO_D10,ORG1_H10,"[""General""]",3,1/1/1990,Unknown,SHIFT,Street10,Bangalore,560010,KA,India,Contact10,9090909010,qa_doctor14@iorbitteam825558.testinator.com,412,Invalid gender,? 500ms
Create Doctor,fail,DCTC011,Empty doctorType,QA_viru11,APOLLO_D11,ORG1_H11,"[""General""]",3,1/1/1990,Male,,Street11,Bangalore,560011,KA,India,Contact11,9090909011,qa_doctor14@iorbitteam825558.testinator.com,400,doctorType is required,? 500ms
Create Doctor,fail,DCTC012,Invalid doctorType,QA_viru12,APOLLO_D12,ORG1_H12,"[""General""]",3,1/1/1990,Male,EMERGENCY,Street12,Bangalore,560012,KA,India,Contact12,9090909012,qa_doctor14@iorbitteam825558.testinator.com,412,Invalid doctorType value,? 500ms
Create Doctor,fail,DCTC013,Empty street1,QA_viru13,APOLLO_D13,ORG1_H13,"[""General""]",3,1/1/1990,Male,SHIFT,,Bangalore,560013,KA,India,Contact13,9090909013,qa_doctor14@iorbitteam825558.testinator.com,400,street1 is required,? 500ms
Create Doctor,fail,DCTC014,Empty city,QA_viru14,APOLLO_D14,ORG1_H14,"[""General""]",3,1/1/1990,Male,SHIFT,Street14,,560014,KA,India,Contact14,9090909014,qa_doctor14@iorbitteam825558.testinator.com,400,city is required,? 500ms
Create Doctor,fail,DCTC015,Empty pincode,QA_viru15,APOLLO_D15,ORG1_H15,"[""General""]",3,1/1/1990,Male,SHIFT,Street15,Bangalore,,KA,India,Contact15,9090909015,qa_doctor14@iorbitteam825558.testinator.com,400,pincode is required,? 500ms
Create Doctor,fail,DCTC016,Non-numeric pincode,QA_viru16,APOLLO_D16,ORG1_H16,"[""General""]",3,1/1/1990,Male,SHIFT,Street16,Bangalore,abcd,KA,India,Contact16,9090909016,qa_doctor14@iorbitteam825558.testinator.com,412,Invalid pincode,? 500ms
Create Doctor,fail,DCTC017,Empty state,QA_viru17,APOLLO_D17,ORG1_H17,"[""General""]",3,1/1/1990,Male,SHIFT,Street17,Bangalore,560017,,India,Contact17,9090909017,qa_doctor14@iorbitteam825558.testinator.com,400,state is required,? 500ms
Create Doctor,fail,DCTC018,Empty country,QA_viru18,APOLLO_D18,ORG1_H18,"[""General""]",3,1/1/1990,Male,SHIFT,Street18,Bangalore,560018,KA,,Contact18,9090909018,qa_doctor14@iorbitteam825558.testinator.com,400,country is required,? 500ms
Create Doctor,fail,DCTC019,Country > 50 chars,QA_viru19,APOLLO_D19,ORG1_H19,"[""General""]",3,1/1/1990,Male,SHIFT,Street19,Bangalore,560019,KA,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXY,Contact19,9090909019,qa_doctor14@iorbitteam825558.testinator.com,412,Country too long,? 500ms
Create Doctor,fail,DCTC020,Empty contactName,QA_viru20,APOLLO_D20,ORG1_H20,"[""General""]",3,1/1/1990,Male,SHIFT,Street20,Bangalore,560020,KA,India,,9090909020,qa_doctor14@iorbitteam825558.testinator.com,400,contact name is required,? 500ms
Create Doctor,fail,DCTC021,Missing myAddress object,QA_viru21,APOLLO_D21,ORG1_H21,"[""Neurologist""]",7,1/1/1990,Male,SHIFT,,,,,,ORG1_H21_D1,9090909021,qa_doctor14@iorbitteam825558.testinator.com,400,Address details required,? 500ms
Create Doctor,fail,DCTC022,Missing myContact object,QA_viru22,APOLLO_D22,ORG1_H22,"[""Dentist""]",3,1/1/1990,Male,SHIFT,Street22,Chennai,600001,TN,India,,,,400,Contact details required,? 500ms
Create Doctor,pass,DCTC023,Validate audit fields (createdBy) are set,QA_viru23,APOLLO_D23,ORG1_H23,"[""General Physician""]",5,1/1/1990,Male,SHIFT,Street23,Bangalore,560021,KA,India,ORG1_H23_D1,9090909023,qa_doctor14@iorbitteam825558.testinator.com,201,Doctor created with audit info,? 500ms
